"CD_TOPIC";"LB_TOPIC_DESC";"CD_DIVISION";"LB_DIVISION_DESC"
"FCH-01-1-2016";"Manufacturing technologies for PEMFC stack components and stacks";"EU.3.4.6.1.";"Reduce the production cost of fuel cell systems to be used in transport applications, while increasing their lifetime to levels which can compete with conventional technologies"
"FCH-01-1-2017";"Development of fuel cell system technologies for achieving competitive solutions for aeronautical applications";"EU.3.4.6.1.";"Reduce the production cost of fuel cell systems to be used in transport applications, while increasing their lifetime to levels which can compete with conventional technologies"
"FCH-01.2-2014";"Cell and stack components, stack and system manufacturing technologies and quality assurance";"EU.3.4.6.1.";"Reduce the production cost of fuel cell systems to be used in transport applications, while increasing their lifetime to levels which can compete with conventional technologies"
"FCH-01.2-2015";"Diagnostics and control for increased fuel cell system lifetime in automotive applications";"EU.3.4.6.1.";"Reduce the production cost of fuel cell systems to be used in transport applications, while increasing their lifetime to levels which can compete with conventional technologies"
"FCH-01-2-2016";"Standardisation of components for cost-efficient fuel cell systems for automotive applications";"EU.3.4.6.1.";"Reduce the production cost of fuel cell systems to be used in transport applications, while increasing their lifetime to levels which can compete with conventional technologies"
"FCH-01-2-2017";"Towards next generation of PEMFC: Non-PGM catalysts";"EU.3.5.7.1.";"Reduce the use of the EU defined ""Critical raw materials"", for instance through low platinum or platinum free resources and through recycling or reducing or avoiding the use of rare earth elements"
"FCH-01.3-2014";"Development of advanced fuel cell systems and system components";"EU.3.4.6.1.";"Reduce the production cost of fuel cell systems to be used in transport applications, while increasing their lifetime to levels which can compete with conventional technologies"
"FCH-01.3-2015";"Development of Industrialization-ready PEMFC systems and system components";"EU.3.4.6.1.";"Reduce the production cost of fuel cell systems to be used in transport applications, while increasing their lifetime to levels which can compete with conventional technologies"
"FCH-01-3-2016";"PEMFC system manufacturing technologies and quality assurance";"EU.3.4.6.1.";"Reduce the production cost of fuel cell systems to be used in transport applications, while increasing their lifetime to levels which can compete with conventional technologies"
"FCH-01-3-2017";"Improvement of compressed storage systems in the perspective of high volume automotive application";"EU.3.4.6.1.";"Reduce the production cost of fuel cell systems to be used in transport applications, while increasing their lifetime to levels which can compete with conventional technologies"
"FCH-01.4-2014";"Hydrogen storage standardisation and components optimization for mass production";"EU.3.4.6.1.";"Reduce the production cost of fuel cell systems to be used in transport applications, while increasing their lifetime to levels which can compete with conventional technologies"
"FCH-01.4-2015";"Adaptation of existing fuel cell components and systems from road to non-road applications";"EU.3.4.6.1.";"Reduce the production cost of fuel cell systems to be used in transport applications, while increasing their lifetime to levels which can compete with conventional technologies"
"FCH-01-4-2016";"Development of industrialization-ready PEMFC systems and system components";"EU.3.4.6.1.";"Reduce the production cost of fuel cell systems to be used in transport applications, while increasing their lifetime to levels which can compete with conventional technologies"
"FCH-01-4-2017";"Demonstration of FC material handling and industrial vehicles";"EU.3.4.6.1.";"Reduce the production cost of fuel cell systems to be used in transport applications, while increasing their lifetime to levels which can compete with conventional technologies"
"FCH-01.5-2014";"Development of cost effective and reliable hydrogen refuelling station components and systems for fuel cell vehicles";"EU.3.4.6.1.";"Reduce the production cost of fuel cell systems to be used in transport applications, while increasing their lifetime to levels which can compete with conventional technologies"
"FCH-01.5-2015";"Develop technologies for achieving competitive solutions for APU transport applications based on existing technology";"EU.3.4.6.1.";"Reduce the production cost of fuel cell systems to be used in transport applications, while increasing their lifetime to levels which can compete with conventional technologies"
"FCH-01-5-2016";"Develop new complementary technologies for achieving competitive solutions for marine applications";"EU.3.4.6.1.";"Reduce the production cost of fuel cell systems to be used in transport applications, while increasing their lifetime to levels which can compete with conventional technologies"
"FCH-01-5-2017";"Large scale demonstration in preparation for a wider roll-out of fuel cell bus fleets (FCB) including new cities  – Phase two";"EU.3.4.6.1.";"Reduce the production cost of fuel cell systems to be used in transport applications, while increasing their lifetime to levels which can compete with conventional technologies"
"FCH-01.6-2014";"Engineering studies for large scale bus refuelling";"EU.3.4.6.1.";"Reduce the production cost of fuel cell systems to be used in transport applications, while increasing their lifetime to levels which can compete with conventional technologies"
"FCH-01-6-2016";"Develop new complementary technologies for achieving competitive solutions for rail applications";"EU.3.4.6.1.";"Reduce the production cost of fuel cell systems to be used in transport applications, while increasing their lifetime to levels which can compete with conventional technologies"
"FCH-01-6-2017";"Large scale demonstration of Hydrogen Refuelling Stations and Fuel Cell Electric Vehicle (FCEV) road vehicles operated in fleet(s)";"EU.3.4.6.1.";"Reduce the production cost of fuel cell systems to be used in transport applications, while increasing their lifetime to levels which can compete with conventional technologies"
"FCH-01.7-2014";"Large scale demonstration of refuelling infrastructure for road vehicles";"EU.3.4.6.1.";"Reduce the production cost of fuel cell systems to be used in transport applications, while increasing their lifetime to levels which can compete with conventional technologies"
"FCH-01-7-2016";"Improvement of compressed storage systems and related manufacturing processes in the perspective of automotive mass production";"EU.3.4.6.1.";"Reduce the production cost of fuel cell systems to be used in transport applications, while increasing their lifetime to levels which can compete with conventional technologies"
"FCH-01-7-2017";"Validation of Fuel Cell Trucks for the Collect of Urban Wastes";"EU.3.4.6.1.";"Reduce the production cost of fuel cell systems to be used in transport applications, while increasing their lifetime to levels which can compete with conventional technologies"
"FCH-01-8-2016";"Development of innovative hydrogen compressor technology for small scale decentralized applications for hydrogen refuelling or storage";"EU.3.4.6.1.";"Reduce the production cost of fuel cell systems to be used in transport applications, while increasing their lifetime to levels which can compete with conventional technologies"
"FCH-01-9-2016";"Large scale validation of fuel cell bus fleets";"EU.3.4.6.1.";"Reduce the production cost of fuel cell systems to be used in transport applications, while increasing their lifetime to levels which can compete with conventional technologies"
"FCH-02.10-2014";"Demonstrating the feasibility of central large scale electrolysers in providing grid services and hydrogen distribution and supply to multiple high value markets";"EU.3.3.8.3.";"Demonstrate on a large scale the feasibility of using hydrogen to support integration of renewable energy sources into the energy systems, including through its use as a competitive energy storage medium for electricity produced from renewable energy sour"
"FCH-02-10-2016";"Demonstration of fuel cell-based energy storage solutions for isolated micro-grid or off-grid remote areas";"EU.3.3.8.1.";"Increase the electrical efficiency and the durability of the different fuel cells used for power production to levels which can compete with conventional technologies, while reducing costs"
"FCH-02-10-2017";"Transportable FC gensets for temporary power supply in urban applications";"EU.3.3.8.3.";"Demonstrate on a large scale the feasibility of using hydrogen to support integration of renewable energy sources into the energy systems, including through its use as a competitive energy storage medium for electricity produced from renewable energy sour"
"FCH-02.11-2014";"Large scale fuel cell power plant demonstration in industrial/commercial market segments";"EU.3.3.8.1.";"Increase the electrical efficiency and the durability of the different fuel cells used for power production to levels which can compete with conventional technologies, while reducing costs"
"FCH-02-11-2016";"MW or multi-MW demonstration of stationary fuel cells";"EU.3.3.8.1.";"Increase the electrical efficiency and the durability of the different fuel cells used for power production to levels which can compete with conventional technologies, while reducing costs"
"FCH-02-11-2017";"Validation and demonstration of commercial-scale fuel cell core systems within a power range of 10-100kW for selected markets/applications";"EU.3.3.8.1.";"Increase the electrical efficiency and the durability of the different fuel cells used for power production to levels which can compete with conventional technologies, while reducing costs"
"FCH-02-11-2017";"Validation and demonstration of commercial-scale fuel cell core systems within a power range of 10-100kW for selected markets/applications";"EU.3.3.8.3.";"Demonstrate on a large scale the feasibility of using hydrogen to support integration of renewable energy sources into the energy systems, including through its use as a competitive energy storage medium for electricity produced from renewable energy sour"
"FCH-02.1-2014";"Research in electrolysis for cost effective hydrogen production";"EU.3.3.8.2.";"Increase the energy efficiency of production of hydrogen mainly from water electrolysis and renewable sources while reducing operating and capital costs, so that the combined system of the hydrogen production and the conversion using the fuel cell system "
"FCH-02.1-2015";"Improved electrolysis for Off-grid Hydrogen production";"EU.3.3.8.2.";"Increase the energy efficiency of production of hydrogen mainly from water electrolysis and renewable sources while reducing operating and capital costs, so that the combined system of the hydrogen production and the conversion using the fuel cell system "
"FCH-02-1-2016";"Establish testing protocols for electrolysers performing electricity grid services";"EU.3.3.8.3.";"Demonstrate on a large scale the feasibility of using hydrogen to support integration of renewable energy sources into the energy systems, including through its use as a competitive energy storage medium for electricity produced from renewable energy sour"
"FCH-02-1-2017";"Game changer Water Electrolysers";"EU.3.3.8.1.";"Increase the electrical efficiency and the durability of the different fuel cells used for power production to levels which can compete with conventional technologies, while reducing costs"
"FCH-02-1-2017";"Game changer Water Electrolysers";"EU.3.3.8.2.";"Increase the energy efficiency of production of hydrogen mainly from water electrolysis and renewable sources while reducing operating and capital costs, so that the combined system of the hydrogen production and the conversion using the fuel cell system "
"FCH-02-12-2017";"Demonstration of fuel cell-based energy storage solutions for isolated micro-grid or off-grid remote areas";"EU.3.3.8.2.";"Increase the energy efficiency of production of hydrogen mainly from water electrolysis and renewable sources while reducing operating and capital costs, so that the combined system of the hydrogen production and the conversion using the fuel cell system "
"FCH-02-12-2017";"Demonstration of fuel cell-based energy storage solutions for isolated micro-grid or off-grid remote areas";"EU.3.3.8.3.";"Demonstrate on a large scale the feasibility of using hydrogen to support integration of renewable energy sources into the energy systems, including through its use as a competitive energy storage medium for electricity produced from renewable energy sour"
"FCH-02.2-2014";"Decentralized hydrogen production from clean CO2-containing biogas";"EU.3.3.8.2.";"Increase the energy efficiency of production of hydrogen mainly from water electrolysis and renewable sources while reducing operating and capital costs, so that the combined system of the hydrogen production and the conversion using the fuel cell system "
"FCH-02.2-2015";"Improved electrolysis for Distributed Hydrogen production";"EU.3.3.8.2.";"Increase the energy efficiency of production of hydrogen mainly from water electrolysis and renewable sources while reducing operating and capital costs, so that the combined system of the hydrogen production and the conversion using the fuel cell system "
"FCH-02-2-2016";"Development of compact reformers for distributed bio-hydrogen production";"EU.3.3.8.2.";"Increase the energy efficiency of production of hydrogen mainly from water electrolysis and renewable sources while reducing operating and capital costs, so that the combined system of the hydrogen production and the conversion using the fuel cell system "
"FCH-02-2-2017";"Game changer High Temperature Steam Electrolysers";"EU.3.3.8.2.";"Increase the energy efficiency of production of hydrogen mainly from water electrolysis and renewable sources while reducing operating and capital costs, so that the combined system of the hydrogen production and the conversion using the fuel cell system "
"FCH-02.3-2014";"Stationary fuel cell system diagnostics: development of online monitoring and diagnostics systems for reliable and durable fuel cell system operation";"EU.3.3.8.1.";"Increase the electrical efficiency and the durability of the different fuel cells used for power production to levels which can compete with conventional technologies, while reducing costs"
"FCH-02.3-2015";"Development of co-electrolysis using CO2 and water";"EU.3.3.8.2.";"Increase the energy efficiency of production of hydrogen mainly from water electrolysis and renewable sources while reducing operating and capital costs, so that the combined system of the hydrogen production and the conversion using the fuel cell system "
"FCH-02-3-2016";"Development of processes for direct production of hydrogen from sunlight";"EU.3.3.8.2.";"Increase the energy efficiency of production of hydrogen mainly from water electrolysis and renewable sources while reducing operating and capital costs, so that the combined system of the hydrogen production and the conversion using the fuel cell system "
"FCH-02-3-2017";"Reversible Solid Oxide Electrolyser (rSOC) for resilient energy systems";"EU.3.3.8.1.";"Increase the electrical efficiency and the durability of the different fuel cells used for power production to levels which can compete with conventional technologies, while reducing costs"
"FCH-02-3-2017";"Reversible Solid Oxide Electrolyser (rSOC) for resilient energy systems";"EU.3.3.8.2.";"Increase the energy efficiency of production of hydrogen mainly from water electrolysis and renewable sources while reducing operating and capital costs, so that the combined system of the hydrogen production and the conversion using the fuel cell system "
"FCH-02.4-2014";"Robust manufacturing of stationary fuel cells with reduced quality control costs";"EU.3.3.8.1.";"Increase the electrical efficiency and the durability of the different fuel cells used for power production to levels which can compete with conventional technologies, while reducing costs"
"FCH-02.4-2015";"Proof-of-concept of HT electrolysers at a scale > 70 kW";"EU.3.3.8.2.";"Increase the energy efficiency of production of hydrogen mainly from water electrolysis and renewable sources while reducing operating and capital costs, so that the combined system of the hydrogen production and the conversion using the fuel cell system "
"FCH-02-4-2016";"Co-generation of hydrogen and electricity with high-temperature fuel cells";"EU.3.3.8.2.";"Increase the energy efficiency of production of hydrogen mainly from water electrolysis and renewable sources while reducing operating and capital costs, so that the combined system of the hydrogen production and the conversion using the fuel cell system "
